brgy,land_area,floor_area,classification,storey,roof_framing,roofing,ext_walls,flooring,doors,ceiling,windows,wall_finish,elect_conduit,toilet,plumbing,target_value
0,446.0,232.0,0,2,5.0,2,2.0,0.0,0.0,0.0,2.0,1.0,7.0,1.0,0.0,504000.0
0,2552.0,2223.0,0,2,5.0,2,2.0,1.0,1.0,0.0,2.0,3.0,7.0,1.0,0.0,14796577.0
0,328.0,327.0,0,2,5.0,2,2.0,0.0,5.0,0.0,2.0,1.0,8.0,1.0,2.0,592790.0
1,10059.0,55.49,0,1,5.0,3,2.0,1.0,1.0,0.0,2.0,2.0,8.0,1.0,2.0,487760.0
1,10059.0,451.4,0,2,5.0,3,2.0,1.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,3088810.0
1,10059.0,216.0,0,1,5.0,3,2.0,1.0,6.0,0.0,2.0,1.0,8.0,1.0,2.0,987120.0
1,10059.0,126.48,0,1,5.0,3,2.0,1.0,6.0,0.0,2.0,1.0,8.0,1.0,2.0,428770.0
1,10059.0,289.6,0,2,1.0,2,2.0,1.0,6.0,0.0,2.0,1.0,8.0,1.0,2.0,2193980.0
3,1452.0,375.0,0,2,5.0,2,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1528600.0
3,433.0,46.22,0,2,6.0,2,2.0,0.0,3.0,0.0,2.0,1.0,7.0,1.0,0.0,205000.0
